hu_site_limit,point_granularity,point_longitude,fl_site_deductible,hu_site_deductible,point_latitude,fl_site_limit,county,construction,tiv_2011,policyID,fr_site_deductible,tiv_2012,eq_site_deductible,line,fr_site_limit,eq_site_limit,statecode
42646.03,1,-81.61515,0,0,28.84926,0,LAKE COUNTY,Wood,42646.03,859641,0,66521.15,0,Residential,0,0,FL
35912.45,1,-81.623108,0,0,28.84384,0,LAKE COUNTY,Wood,35912.45,813949,0,52693.25,0,Residential,0,0,FL
41523.76,4,-81.60363,0,0,28.776926,0,LAKE COUNTY,Wood,41523.76,714528,0,34504.59,0,Residential,0,0,FL
28056.6,4,-81.61602,0,0,28.821438,0,LAKE COUNTY,Wood,28056.6,645635,0,26419.21,0,Residential,0,0,FL
28056.6,4,-81.61602,0,0,28.821438,0,LAKE COUNTY,Wood,28056.6,638758,0,39319.25,0,Residential,0,0,FL
351975.63,1,-81.670807,0,0,28.719873,0,LAKE COUNTY,Wood,351975.63,607412,0,487337.71,0,Residential,0,0,FL
1454079.6,4,-80.8567,0,0,28.8633,0,VOLUSIA COUNTY,Masonry,1454079.6,729794,0,2332864.24,0,Residential,0,1454079.6,FL
534610.8,4,-80.8567,0,0,28.8633,0,VOLUSIA COUNTY,Masonry,534610.8,847521,0,670504.59,0,Residential,0,534610.8,FL
27011,1,-80.847351,0,0,28.870205,0,VOLUSIA COUNTY,Wood,27011,809384,0,38020.68,0,Residential,0,0,FL
23234.46,1,-80.847351,0,0,28.870205,0,VOLUSIA COUNTY,Wood,23234.46,575208,0,21673.11,0,Residential,0,0,FL
810.33,1,-80.847351,0,0,28.870205,0,VOLUSIA COUNTY,Wood,810.33,484136,0,1204.8,0,Residential,0,0,FL
144058.66,1,-80.85003,0,0,28.86384,0,VOLUSIA COUNTY,Wood,144058.66,713871,0,212371.28,0,Residential,0,0,FL
26560.82,1,-80.85025,0,0,28.86439,0,VOLUSIA COUNTY,Wood,26560.82,724288,0,19516.22,0,Residential,0,0,FL
6077.47,1,-80.847351,0,0,28.870205,0,VOLUSIA COUNTY,Wood,6077.47,400638,0,8200.82,0,Residential,0,0,FL
424961.04,1,-80.850868,0,0,28.858971,0,VOLUSIA COUNTY,Masonry,424961.04,573046,0,630981.31,0,Residential,0,0,FL
10891.43,1,-80.85025,0,0,28.86439,0,VOLUSIA COUNTY,Wood,10891.43,203023,0,12719,0,Residential,0,0,FL
2971.21,1,-80.857086,0,0,28.858471,0,VOLUSIA COUNTY,Wood,2971.21,510098,0,2409.09,0,Residential,0,0,FL
476.19,1,-80.857086,0,0,28.858471,0,VOLUSIA COUNTY,Wood,476.19,913390,0,598.9,0,Residential,0,0,FL
201339.27,3,-80.852015,0,0,28.86412,0,VOLUSIA COUNTY,Wood,201339.27,880129,0,258282.04,0,Residential,0,0,FL
201339.27,4,-80.8567,0,0,28.8633,0,VOLUSIA COUNTY,Wood,201339.27,501376,0,289812.58,0,Residential,0,0,FL
201339.27,4,-80.8567,0,0,28.8633,0,VOLUSIA COUNTY,Wood,201339.27,460482,0,176284.61,0,Residential,0,0,FL
0,3,-80.86277,0,0,28.900709,72000,VOLUSIA COUNTY,Wood,72000,360398,0,111464.64,0,Residential,0,0,FL
0,1,-80.851425,0,0,28.883745,72000,VOLUSIA COUNTY,Wood,72000,964104,0,106939.01,0,Residential,0,0,FL
0,1,-80.87015,0,0,28.87907,180000,VOLUSIA COUNTY,Wood,180000,997120,0,257005.44,0,Residential,0,0,FL
0,3,-80.857095,0,0,28.859735,32400,VOLUSIA COUNTY,Wood,32400,890477,0,37599.81,0,Residential,0,0,FL
1065469.5,1,-81.29516,0,0,28.94989,1065469.5,VOLUSIA COUNTY,Masonry,1065469.5,492062,0,1162967.42,0,Residential,1065469.5,1065469.5,FL
778500,1,-81.29516,0,0,28.94989,778500,VOLUSIA COUNTY,Masonry,778500,575020,0,1030702.86,0,Residential,778500,778500,FL
233280,1,-81.29217,0,0,28.95723,233280,VOLUSIA COUNTY,Wood,233280,252320,0,376756.53,0,Residential,233280,233280,FL
22050,1,-81.29217,0,0,28.95723,22050,VOLUSIA COUNTY,Wood,22050,440052,0,17264.09,0,Residential,22050,22050,FL
614101.92,1,-81.28861,0,0,28.91176,0,VOLUSIA COUNTY,Masonry,614101.92,443067,0,746978.84,0,Residential,0,0,FL
94500,3,-81.302094,0,0,28.913591,94500,VOLUSIA COUNTY,Wood,94500,878802,0,164822.65,0,Residential,94500,94500,FL
49500,1,-81.283432,0,0,28.911297,49500,VOLUSIA COUNTY,Wood,49500,506603,0,77130.9,0,Residential,49500,49500,FL
15560.55,3,-81.28746,0,0,28.90671,0,VOLUSIA COUNTY,Wood,15560.55,958424,0,14855.97,0,Residential,0,0,FL
13500,1,-81.285423,0,0,28.915321,13500,VOLUSIA COUNTY,Wood,13500,129953,0,18706.55,0,Residential,13500,13500,FL
27000,3,-81.287331,0,0,28.906881,27000,VOLUSIA COUNTY,Wood,27000,107836,0,30873.15,0,Residential,27000,27000,FL
4412453.4,1,-81.285423,0,0,28.915321,4412453.4,VOLUSIA COUNTY,Reinforced Masonry,4412453.4,869361,0,6490012.96,0,Commercial,4412453.4,4412453.4,FL
8837995.5,1,-81.284096,0,0,28.915457,8837995.5,VOLUSIA COUNTY,Reinforced Masonry,8837995.5,930821,0,11880000,0,Commercial,8837995.5,8837995.5,FL
1908684.36,1,-81.293571,0,0,28.911264,0,VOLUSIA COUNTY,Reinforced Masonry,1908684.36,133326,0,2430167.47,0,Commercial,0,0,FL
363093.9,1,-81.284912,0,0,28.916594,0,VOLUSIA COUNTY,Masonry,363093.9,580555,0,529565.19,0,Residential,0,0,FL
155250,4,-81.288918,0,7762.5,28.903788,155250,VOLUSIA COUNTY,Wood,155250,314690,0,174507.21,0,Residential,155250,155250,FL
111116.7,4,-81.2993,0,0,28.9442,0,VOLUSIA COUNTY,Wood,111116.7,273399,0,91876.62,0,Residential,0,111116.7,FL
327835.8,3,-81.298965,0,0,28.97236,0,VOLUSIA COUNTY,Wood,327835.8,598857,0,511935.27,0,Residential,0,327835.8,FL
4111722,3,-81.3107,0,205586.1,28.93915,0,VOLUSIA COUNTY,Reinforced Masonry,4111722,634472,0,3699760.35,0,Commercial,0,0,FL
2558745,3,-81.3107,0,0,28.93915,0,VOLUSIA COUNTY,Reinforced Masonry,2558745,107953,0,1954561.34,0,Commercial,0,0,FL
4072086,3,-81.3107,0,203604.3,28.93915,0,VOLUSIA COUNTY,Reinforced Masonry,4072086,389792,0,3577702.18,0,Commercial,0,0,FL
198936,3,-81.3107,0,9946.8,28.93915,0,VOLUSIA COUNTY,Wood,198936,990084,0,161423.43,0,Residential,0,0,FL
1945161,3,-81.3107,0,0,28.93915,0,VOLUSIA COUNTY,Reinforced Masonry,1945161,153828,0,2818958.44,0,Commercial,0,0,FL
3400425,3,-81.307404,0,0,28.934248,0,VOLUSIA COUNTY,Reinforced Masonry,3400425,585347,0,5386732.26,0,Commercial,0,0,FL
5786883,3,-81.307404,0,0,28.934248,0,VOLUSIA COUNTY,Reinforced Masonry,5786883,221409,0,8702823.9,0,Commercial,0,0,FL
1526499,1,-81.29157,0,0,28.95141,0,VOLUSIA COUNTY,Masonry,1526499,453952,0,1659170.08,0,Residential,0,0,FL
382482,1,-81.29157,0,19124.1,28.95141,0,VOLUSIA COUNTY,Masonry,382482,988514,0,523400.61,0,Residential,0,0,FL
431100,1,-81.29157,0,21555,28.95141,0,VOLUSIA COUNTY,Masonry,431100,908607,0,447616.3,0,Residential,0,0,FL
740052,1,-81.29157,0,37002.6,28.95141,0,VOLUSIA COUNTY,Masonry,740052,687949,0,660422.4,0,Residential,0,0,FL
912393,3,-81.309105,0,0,28.939524,0,VOLUSIA COUNTY,Masonry,912393,254884,0,1047189.94,0,Residential,0,0,FL
4361985,3,-81.309105,0,0,28.939524,0,VOLUSIA COUNTY,Reinforced Masonry,4361985,592354,0,3725929.07,0,Commercial,0,0,FL
4384530,3,-81.309105,0,219226.5,28.939524,0,VOLUSIA COUNTY,Reinforced Masonry,4384530,335412,0,4756355.68,0,Commercial,0,0,FL
2482555.02,1,-81.289986,0,0,28.907524,0,VOLUSIA COUNTY,Reinforced Masonry,2482555.02,524786,0,3802107.48,0,Commercial,0,0,FL
11790000,1,-81.286888,0,0,28.903709,0,VOLUSIA COUNTY,Reinforced Concrete,11790000,444239,0,14130000,0,Commercial,0,0,FL
815479.96,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Masonry,815479.96,767308,0,1102042.88,0,Residential,0,0,FL
17388.76,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Wood,17388.76,353352,0,23276.59,0,Residential,0,0,FL
128386.1,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Wood,128386.1,893445,0,171647.73,0,Residential,0,0,FL
128487.1,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Wood,128487.1,537889,0,201352.65,0,Residential,0,0,FL
55766.97,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Wood,55766.97,231972,0,46250.34,0,Residential,0,0,FL
111533.94,1,-81.27611,0,0,28.91388,0,VOLUSIA COUNTY,Wood,111533.94,660931,0,99316.51,0,Residential,0,0,FL
1023558.3,1,-81.292999,0,0,28.912909,1023558.3,VOLUSIA COUNTY,Masonry,1023558.3,810572,0,1649044.54,0,Residential,1023558.3,1023558.3,FL
0,1,-81.2993,0,0,28.9442,58500,VOLUSIA COUNTY,Wood,58500,452528,0,77899.48,0,Residential,0,0,FL
0,1,-81.32415,0,0,28.9684,63900,VOLUSIA COUNTY,Wood,63900,813265,0,95060.2,0,Residential,0,0,FL
0,1,-81.33041,0,0,28.96595,54014.4,VOLUSIA COUNTY,Wood,54014.4,629678,0,44719.87,0,Residential,0,0,FL
0,4,-81.2993,0,0,28.9442,27000,VOLUSIA COUNTY,Wood,27000,546306,0,24278.13,0,Residential,0,0,FL
0,1,-81.31993,0,0,28.94237,67347,VOLUSIA COUNTY,Wood,67347,343080,0,62430.67,0,Residential,0,0,FL
0,1,-81.32322,0,0,28.967,58315.5,VOLUSIA COUNTY,Wood,58315.5,273164,0,45849.98,0,Residential,0,0,FL
0,4,-81.2993,0,0,28.9442,46800,VOLUSIA COUNTY,Wood,46800,488880,0,57189.55,0,Residential,0,0,FL
0,1,-81.3242,0,0,28.94319,80199,VOLUSIA COUNTY,Wood,80199,165348,0,104707.81,0,Residential,0,0,FL
1190216.99,1,-81.29755,0,0,28.94909,0,VOLUSIA COUNTY,Masonry,1190216.99,775810,0,1538355.46,0,Residential,0,0,FL
31311.16,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Wood,31311.16,328109,0,52042.13,0,Residential,0,0,FL
294695.28,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Wood,294695.28,337625,0,465191.82,0,Residential,0,0,FL
407740.92,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Masonry,407740.92,672518,0,337624.16,0,Residential,0,0,FL
325086.19,1,-81.294685,0,0,28.936049,0,VOLUSIA COUNTY,Wood,325086.19,823534,0,409842.66,0,Residential,0,0,FL
14900.3,1,-81.262115,0,0,28.946739,0,VOLUSIA COUNTY,Wood,14900.3,328385,0,19434.91,0,Residential,0,0,FL
3900.99,1,-81.27583,0,0,28.93831,0,VOLUSIA COUNTY,Wood,3900.99,656749,0,4928.35,0,Residential,0,0,FL
6501.27,1,-81.269363,0,0,28.938301,0,VOLUSIA COUNTY,Wood,6501.27,142776,0,7236.05,0,Residential,0,0,FL
6501.27,1,-81.265572,0,0,28.94289,0,VOLUSIA COUNTY,Wood,6501.27,961848,0,5421.93,0,Residential,0,0,FL
6501.27,1,-81.266617,0,0,28.944298,0,VOLUSIA COUNTY,Wood,6501.27,375641,0,10302.31,0,Residential,0,0,FL
282522.08,3,-81.281885,0,0,28.91859,0,VOLUSIA COUNTY,Wood,282522.08,264822,0,364453.49,0,Residential,0,0,FL
275717.8,1,-81.29726,0,0,28.94969,0,VOLUSIA COUNTY,Wood,275717.8,685254,0,204679.11,0,Residential,0,0,FL
161493.78,1,-81.29806,0,0,28.95012,0,VOLUSIA COUNTY,Wood,161493.78,367891,0,122135.81,0,Residential,0,0,FL
443361.58,1,-81.29268,0,0,28.91852,0,VOLUSIA COUNTY,Masonry,443361.58,696224,0,399122.96,0,Residential,0,0,FL
380812.2,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Masonry,380812.2,266735,0,641592.4,0,Residential,0,0,FL
11222.64,1,-81.29755,0,0,28.94909,0,VOLUSIA COUNTY,Wood,11222.64,233232,0,14134.87,0,Residential,0,0,FL
6187.04,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Wood,6187.04,245141,0,5211.96,0,Residential,0,0,FL
1250.2,1,-81.298721,0,0,28.94862,0,VOLUSIA COUNTY,Wood,1250.2,222889,0,1985.17,0,Residential,0,0,FL
39279.24,1,-81.298721,0,0,28.94862,0,VOLUSIA COUNTY,Wood,39279.24,628703,0,35842.15,0,Residential,0,0,FL
6299.27,1,-81.29625,0,0,28.9422,0,VOLUSIA COUNTY,Wood,6299.27,968186,0,10142.05,0,Residential,0,0,FL
1250.2,1,-81.29625,0,0,28.9422,0,VOLUSIA COUNTY,Wood,1250.2,319432,0,1576.15,0,Residential,0,0,FL
6684.2,1,-81.321861,0,0,28.952368,0,VOLUSIA COUNTY,Wood,6684.2,305832,0,7546.35,0,Residential,0,0,FL
938.21,1,-81.321861,0,0,28.952368,0,VOLUSIA COUNTY,Wood,938.21,230834,0,1506.5,0,Residential,0,0,FL
5625.91,1,-81.321861,0,0,28.952368,0,VOLUSIA COUNTY,Wood,5625.91,375946,0,6554.95,0,Residential,0,0,FL
101003.75,1,-81.322525,0,0,28.95237,0,VOLUSIA COUNTY,Wood,101003.75,619184,0,125880.98,0,Residential,0,0,FL
26934.33,1,-81.322525,0,0,28.95237,0,VOLUSIA COUNTY,Wood,26934.33,205845,0,25147.51,0,Residential,0,0,FL
95953.56,1,-81.298721,0,0,28.94862,0,VOLUSIA COUNTY,Wood,95953.56,597221,0,87796.74,0,Residential,0,0,FL
29178.86,3,-81.29833,0,0,28.94428,0,VOLUSIA COUNTY,Wood,29178.86,278111,0,49651.63,0,Residential,0,0,FL
101003.75,1,-81.322525,0,0,28.95237,0,VOLUSIA COUNTY,Wood,101003.75,265221,0,136388.4,0,Residential,0,0,FL
56225.42,3,-81.281921,0,0,28.92852,0,VOLUSIA COUNTY,Wood,56225.42,651135,0,70871.02,0,Residential,0,0,FL
387000,3,-81.29815,0,11610,28.94688,0,VOLUSIA COUNTY,Masonry,387000,552660,0,655361.28,0,Residential,387000,0,FL
278834.4,3,-81.1799,0,0,28.85451,0,VOLUSIA COUNTY,Wood,278834.4,279206,0,310342.69,0,Residential,0,278834.4,FL
325935.9,1,-81.145447,0,0,28.888853,0,VOLUSIA COUNTY,Wood,325935.9,713410,0,405860.6,0,Residential,0,325935.9,FL
936690.46,4,-81.1356,0,0,28.8483,0,VOLUSIA COUNTY,Masonry,936690.46,988621,0,1283854.17,0,Residential,0,0,FL
2514834,1,-81.17648,0,125741.7,28.85491,0,VOLUSIA COUNTY,Reinforced Masonry,2514834,710387,0,2259729.24,0,Commercial,0,0,FL
388656,1,-81.17648,0,19432.8,28.85491,0,VOLUSIA COUNTY,Masonry,388656,331290,0,306183.2,0,Residential,0,0,FL
72000,1,-81.17648,0,3600,28.85491,0,VOLUSIA COUNTY,Wood,72000,312131,0,103753.44,0,Residential,0,0,FL
0,3,-81.1356,0,0,28.8483,75686.4,VOLUSIA COUNTY,Wood,75686.4,287317,0,64382.64,0,Residential,0,0,FL
0,4,-81.1356,0,0,28.8483,450000,VOLUSIA COUNTY,Masonry,450000,264254,0,359632.35,0,Residential,0,0,FL
2927277.02,1,-81.2039,0,0,28.67553,0,SEMINOLE COUNTY,Reinforced Masonry,2927277.02,287385,0,4559245.66,0,Commercial,0,0,FL
246105.63,3,-81.265915,0,0,28.63682,0,SEMINOLE COUNTY,Wood,246105.63,464350,0,246007.19,0,Residential,0,0,FL
82030.4,1,-81.16843,0,0,28.61479,0,SEMINOLE COUNTY,Wood,82030.4,401468,0,93717.76,0,Residential,0,0,FL
21214.99,1,-81.23827,0,0,28.70038,0,SEMINOLE COUNTY,Wood,21214.99,721413,0,19865.5,0,Residential,0,0,FL
958696.01,1,-81.200203,0,0,28.633829,0,SEMINOLE COUNTY,Masonry,958696.01,901473,0,1258959.6,0,Residential,0,0,FL
16057.96,1,-81.200203,0,0,28.633829,0,SEMINOLE COUNTY,Wood,16057.96,440440,0,19770.75,0,Residential,0,0,FL
3855.73,1,-81.16843,0,0,28.61479,0,SEMINOLE COUNTY,Wood,3855.73,449688,0,3940.85,0,Residential,0,0,FL
1295840.7,1,-81.19965,0,0,28.65658,1295840.7,SEMINOLE COUNTY,Masonry,1295840.7,977624,0,1106129.62,0,Residential,1295840.7,1295840.7,FL
1604812.97,1,-81.210831,0,0,28.623938,0,SEMINOLE COUNTY,Masonry,1604812.97,357272,0,2336437.57,0,Residential,0,0,FL
1604812.97,1,-81.210831,0,0,28.623938,0,SEMINOLE COUNTY,Masonry,1604812.97,987489,0,1805855.91,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,981367,0,1097445.45,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,424320,0,833824.12,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,820003,0,536676.81,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,361102,0,841891.89,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,395740,0,958939.78,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,821296,0,588803.56,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,515561,0,547066.49,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,229597,0,691604.67,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,202395,0,860120,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,241134,0,890390.85,0,Residential,0,0,FL
637012.68,1,-81.24919,0,0,28.62124,0,SEMINOLE COUNTY,Masonry,637012.68,118712,0,514191.54,0,Residential,0,0,FL
2239974.86,1,-81.209427,0,0,28.626465,0,SEMINOLE COUNTY,Reinforced Masonry,2239974.86,730829,0,3528524.89,0,Commercial,0,0,FL
2239974.86,1,-81.209427,0,0,28.626465,0,SEMINOLE COUNTY,Reinforced Masonry,2239974.86,379399,0,2953303.82,0,Commercial,0,0,FL
2239974.86,1,-81.209427,0,0,28.626465,0,SEMINOLE COUNTY,Reinforced Masonry,2239974.86,362476,0,2538014.72,0,Commercial,0,0,FL
3463470,1,-81.21339,0,0,28.67313,3463470,SEMINOLE COUNTY,Reinforced Masonry,3463470,903807,0,2347332.16,0,Commercial,3463470,3463470,FL
3027909.6,4,-81.2119,0,0,28.6479,3027909.6,SEMINOLE COUNTY,Reinforced Masonry,3027909.6,693834,0,4191595.82,0,Commercial,3027909.6,3027909.6,FL
714735,1,-81.21339,0,0,28.67313,714735,SEMINOLE COUNTY,Masonry,714735,431325,0,872811.51,0,Residential,714735,714735,FL
187200,1,-81.21339,0,0,28.67313,187200,SEMINOLE COUNTY,Wood,187200,570788,0,165016.05,0,Residential,187200,187200,FL
170550,1,-81.21315,0,0,28.67319,170550,SEMINOLE COUNTY,Wood,170550,756420,0,234753.21,0,Residential,170550,170550,FL
65790,1,-81.21339,0,0,28.67313,65790,SEMINOLE COUNTY,Wood,65790,157189,0,60287.98,0,Residential,65790,65790,FL
261000,3,-81.175003,0,0,28.633207,0,SEMINOLE COUNTY,Wood,261000,866344,0,307541.52,0,Residential,261000,0,FL
45000,3,-81.175003,0,0,28.633207,0,SEMINOLE COUNTY,Wood,45000,864186,0,45554.4,0,Residential,45000,0,FL
31500,3,-81.175003,0,0,28.633207,0,SEMINOLE COUNTY,Wood,31500,311624,0,49116.38,0,Residential,31500,0,FL
20353.5,3,-81.175003,0,0,28.633207,0,SEMINOLE COUNTY,Wood,20353.5,840739,0,25439.33,0,Residential,20353.5,0,FL
466448.4,1,-81.241035,0,0,28.656082,466448.4,SEMINOLE COUNTY,Masonry,466448.4,745992,0,526601.59,0,Residential,466448.4,466448.4,FL
2380743,1,-81.241035,0,0,28.656082,2380743,SEMINOLE COUNTY,Reinforced Masonry,2380743,855437,0,1894119.13,0,Commercial,2380743,2380743,FL
1112400,1,-81.241035,0,0,28.656082,1112400,SEMINOLE COUNTY,Masonry,1112400,851026,0,1641261.66,0,Residential,1112400,1112400,FL
18720000,1,-81.226379,0,0,28.655462,0,SEMINOLE COUNTY,Reinforced Concrete,18720000,188888,0,17280000,0,Commercial,0,0,FL
0,1,-81.234737,0,0,28.66453,4023900,SEMINOLE COUNTY,Reinforced Masonry,4023900,310788,0,5909612.21,0,Commercial,0,4023900,FL
1504530,1,-81.176025,0,75226.5,28.657513,1504530,SEMINOLE COUNTY,Masonry,1504530,496870,0,1661693.2,0,Residential,1504530,1504530,FL
737388,1,-81.20655,0,36869.4,28.65624,737388,SEMINOLE COUNTY,Masonry,737388,869511,0,951088.94,0,Residential,737388,737388,FL
6676825.59,1,-81.20623,0,0,28.6132,0,SEMINOLE COUNTY,Reinforced Masonry,6676825.59,220980,0,9900000,0,Commercial,0,0,FL
261960.3,1,-81.267761,0,0,28.640402,0,SEMINOLE COUNTY,Wood,261960.3,925053,0,239347.89,0,Residential,0,261960.3,FL
222436.8,4,-81.224915,0,0,28.657152,222436.8,SEMINOLE COUNTY,Wood,222436.8,434297,0,306423.6,0,Residential,222436.8,222436.8,FL
241682.4,4,-81.22802,0,0,28.65791,241682.4,SEMINOLE COUNTY,Wood,241682.4,422647,0,320421.56,0,Residential,241682.4,241682.4,FL
20790000,1,-81.23548,0,0,28.65756,0,SEMINOLE COUNTY,Reinforced Concrete,20790000,848031,0,19080000,0,Commercial,0,0,FL
841437.06,4,-81.123732,0,0,28.64579,0,SEMINOLE COUNTY,Masonry,841437.06,930191,0,1253270.02,0,Residential,0,0,FL
758277.97,1,-81.20766,0,0,28.65512,0,SEMINOLE COUNTY,Masonry,758277.97,609202,0,599573.43,0,Residential,0,0,FL
23040000,1,-81.196205,0,0,28.61356,0,SEMINOLE COUNTY,Reinforced Concrete,23040000,843220,0,25290000,0,Commercial,0,0,FL
2497370.23,1,-81.20715,0,0,28.61359,0,SEMINOLE COUNTY,Reinforced Masonry,2497370.23,286093,0,3887344.07,0,Commercial,0,0,FL
684796.85,1,-81.18304,0,0,28.66123,0,SEMINOLE COUNTY,Masonry,684796.85,538374,0,727305.61,0,Residential,0,0,FL
8929252.8,4,-81.2119,0,0,28.6479,0,SEMINOLE COUNTY,Reinforced Masonry,8929252.8,398862,0,8041685.07,0,Commercial,8929252.8,0,FL
2130988.5,1,-81.1818,0,0,28.62475,0,SEMINOLE COUNTY,Reinforced Masonry,2130988.5,690340,0,3162600.03,0,Commercial,2130988.5,0,FL
1645839,1,-81.1818,0,0,28.62475,0,SEMINOLE COUNTY,Masonry,1645839,653763,0,2456157.96,0,Residential,1645839,0,FL
1640857.5,1,-81.1818,0,0,28.62475,0,SEMINOLE COUNTY,Masonry,1640857.5,751235,0,1751884.48,0,Residential,1640857.5,0,FL
955152,1,-81.204773,0,0,28.64109,0,SEMINOLE COUNTY,Masonry,955152,996776,0,841756.35,0,Residential,955152,0,FL
1354149,1,-81.17997,0,0,28.624594,0,SEMINOLE COUNTY,Masonry,1354149,300405,0,2044743.32,0,Residential,1354149,0,FL
8214840,1,-81.17997,0,164296.8,28.624594,0,SEMINOLE COUNTY,Reinforced Masonry,8214840,425877,0,7953936.68,0,Commercial,8214840,0,FL
4223529,1,-81.17997,0,0,28.624594,0,SEMINOLE COUNTY,Reinforced Masonry,4223529,551140,0,4714218.6,0,Commercial,4223529,0,FL
172710,1,-81.17997,0,3454.2,28.624594,0,SEMINOLE COUNTY,Wood,172710,428123,0,236118.06,0,Residential,172710,0,FL
250002,1,-81.17997,0,0,28.624594,0,SEMINOLE COUNTY,Wood,250002,477451,0,396483.17,0,Residential,250002,0,FL
1725615,1,-81.195313,0,34512.3,28.669891,0,SEMINOLE COUNTY,Masonry,1725615,337409,0,1622613.04,0,Residential,1725615,0,FL
7370482.5,1,-81.195313,0,0,28.669891,0,SEMINOLE COUNTY,Reinforced Masonry,7370482.5,305879,0,12150000,0,Commercial,7370482.5,0,FL
14229,1,-81.195313,0,0,28.669891,0,SEMINOLE COUNTY,Wood,14229,113827,0,11033.25,0,Residential,14229,0,FL
2701138.5,1,-81.195313,0,0,28.669891,0,SEMINOLE COUNTY,Reinforced Masonry,2701138.5,667028,0,3548988.06,0,Commercial,2701138.5,0,FL
1387651.5,1,-81.209496,0,0,28.667913,0,SEMINOLE COUNTY,Masonry,1387651.5,636318,0,1875931.37,0,Residential,1387651.5,0,FL
3221086.5,1,-81.209496,0,0,28.667913,0,SEMINOLE COUNTY,Reinforced Masonry,3221086.5,417820,0,5323612.06,0,Commercial,3221086.5,0,FL
351378,1,-81.209496,0,0,28.667913,0,SEMINOLE COUNTY,Wood,351378,158691,0,397713.16,0,Residential,351378,0,FL
1459215,1,-81.209496,0,29184.3,28.667913,0,SEMINOLE COUNTY,Masonry,1459215,811869,0,1639428.05,0,Residential,1459215,0,FL
1707318,1,-81.209496,0,0,28.667913,0,SEMINOLE COUNTY,Masonry,1707318,161552,0,1971163.51,0,Residential,1707318,0,FL
33412.5,1,-81.209496,0,0,28.667913,0,SEMINOLE COUNTY,Wood,33412.5,978417,0,53283.25,0,Residential,33412.5,0,FL
4733109,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Reinforced Masonry,4733109,814911,0,4340649.07,0,Commercial,4733109,0,FL
5080239,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Reinforced Masonry,5080239,194963,0,5341185.48,0,Commercial,5080239,0,FL
23598,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Wood,23598,587277,0,26969.59,0,Residential,23598,0,FL
183312,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Wood,183312,951420,0,145968.41,0,Residential,183312,0,FL
40527,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Wood,40527,287262,0,48146.08,0,Residential,40527,0,FL
23598,1,-81.21924,0,0,28.67251,0,SEMINOLE COUNTY,Wood,23598,914195,0,30264.29,0,Residential,23598,0,FL
2240217,1,-81.19064,0,0,28.65449,0,SEMINOLE COUNTY,Reinforced Masonry,2240217,732721,0,3247015.32,0,Commercial,2240217,0,FL
49693.5,1,-81.19064,0,0,28.65449,0,SEMINOLE COUNTY,Wood,49693.5,493297,0,72164.9,0,Residential,49693.5,0,FL
50589,1,-81.19064,0,0,28.65449,0,SEMINOLE COUNTY,Wood,50589,977006,0,76549.76,0,Residential,50589,0,FL
2785396.5,3,-81.266555,0,0,28.64334,0,SEMINOLE COUNTY,Reinforced Masonry,2785396.5,467529,0,3101917.82,0,Commercial,2785396.5,0,FL
855729.9,1,-81.179138,0,0,28.657656,855729.9,SEMINOLE COUNTY,Masonry,855729.9,909448,0,1367867.13,0,Residential,855729.9,855729.9,FL
